|land|port|location|city|region|runway|approach|usage|opstatus|coordinates|
|FR|TMX|Terminiers|Terminiers|28|--3-----|RL|0201||4804N 00144E|
|FR|TNN|Thelonne|Thelonne|08|-----6--|RL|1901||4939N 00457E|
|FR|TUX|Thieux|Thieux|77|--3-----|RL|0407||4901N 00240E|
|FR|THE|Thourotte|Thourotte|60|--3-----|RL|1901||4929N 00253E|
|FR|TQ7|Tocqueville-les-Murs|Tocqueville-les-Murs|76|--3-----|RL|1701||4940N 00030E|
|FR|TIL|T�tes|Totes|76|--3-----|RL|1901||4941N 00103E|
|FR|TD2|Tournon-d'Agenais|Tournon-d'Agenais|47|--3-----|RL|1601||4424N 00100E|
|FR|T7Z|Traize|Traize|73|--3-----|RL|1801||4540N 00545E|
|FR|9TR|Treignac|Treignac|19|--3-----|RL|1401||4532N 00148E|
|FR|TQS|Tresques|Tresques|30|--3-----|RL|1901||4407N 00435E|
|FR|T6C|Troch�res|Trocheres|21|--3-----|RL|1607||4721N 00518E|
|FR|TQ9|Turquant|Turquant|49|--3--6--|RL|1901||4713N 00000E|
|FR|UZ9|Uzer|Uzer|07|--3-----|RL|1801||4431N 00420E|
|FR|VAH|Valdahon|Valdahon|25|--3-----|RL|0907||4708N 00620E|
|FR|VFB|Valframbert|Valframbert|61|-23-----|RL|0407||4828N 00007E|
|FR|VV2|Valvign�res|Valvigneres|07|--3--6--|RL|1901||4430N 00435E|
|FR|H5V|Varennes-sur-Amance|Varennes-sur-Amance|52|--3-----|RL|1501||4754N 00537E|
|FR|VCU|Vaucouleurs|Vaucouleurs|55|--3-----|RL|0501||4836N 00540E|
|FR|VXD|Vaux-l�s-Saint-Claude|Vaux-les-Saint-Claude|39|--3-----|RL|1101||4622N 00544E|
|FR|VMB|V�mars|Vemars|95|--3-----|RL|0701||4904N 00234E|
|FR|VCD|Ventenac-Cabard�s|Ventenac-Cabardes|11|-----6--|RL|1901||4316N 00217E|
|FR|VEM|Vermelles|Vermelles|62|--3-----|RL|0201||5029N 00244E|
|FR|VUB|Vernou-sur-Brenne|Vernou-sur-Brenne|37|-23-----|RL|0701||4725N 00051E|
|FR|VDW|Vert-le-Grand|Vert-le-Grand|91|--3-----|RL|1801||4834N 00222E|
|FR|YRU|Veyrins-Thuellin|Veyrins-Thuellin|38|--3-----|RL|0607||4538N 00532E|
|FR|UY7|Victot-Pontfol|Victot-Pontfol|14|-----6--|RL|1901||4910N 00000W|
|FR|VVK|Vi�vy|Vievy|21|--3-----|RL|1901||4703N 00427E|
|FR|A2G|Villargondran|Villargondran|73|--3-----|RL|1701||4516N 00622E|
|FR|VUN|Villedieu-sur-Indre|Villedieu-sur-Indre|36|--3-----|RL|0507||4651N 00132E|
|FR|VGJ|Villelongue-de-la-Salanque|Villelongue-de-la-Salanque|66|--3-----|RL|1401||4244N 00259E|
|FR|VIM|Villeneuve-la-Garenne|Villeneuve-la-Garenne|92|--3-----|RL|0212||4856N 00219E|
|FR|VE2|Villereversure|Villereversure|01|-----6--|RL|1001||4611N 00523E|
|FR|VC4|Villers-sous-Ch�tillon|Villers-sous-Chatillon|51|1----6--|RL|1901||4906N 00348E|
|FR|OCV|Villevocance|Villevocance|07|--3-----|RL|1407||4514N 00435E|
|FR|ZM8|Vincelles|Vincelles|51|-----6--|RL|1901||4905N 00338E|
|FR|V2V|Viriville|Viriville|38|-----6--|RL|1201||4519N 00512E|
|FR|VTL|Vittel|Vittel|88|-2-4----|AF|1901||4812N 00557E|
|FR|NYZ|Vom�court|Vomecourt|88|--3-----|RL|1901||4819N 00637E|
|FR|5VU|Vue|Vue|44|--3-----|RL|1407||4712N 00153W|
|FR|WWR|Wattwiller|Wattwiller|68|--3-----|RL|0701||4751N 00710E|
|FR|WS2|Wissant|Wissant|62|-----6--|RL|1107||5053N 00140E|
|FR|YOP|Yolet|Yolet|15|--3-----|RL|1407||4456N 00232E|
|GA|CCB|Cocobeach|Cocobeach||1-------|RL|9811|||
|GA|KDJ|Ndjol�|Ndjole||---4----|AI|0212|||
||GB|ABE|Aberdare|Aberdare|POW|0-------|AF|2407||5142N 00327W|
|GB|ACL|Acle|Acle|NFK|-23-----|RL|0307||5238N 00133E|
|GB|AIG|Albrighton|Albrighton|SHR|--3-----|RL|1301||5245N 00245W|
||GB|ALW|Alnwick|Alnwick|NBL|0-------|AF|2407||5524N 00142W|
|GB|ANB|Anlaby|Anlaby||--3-----|RL|0307||5344N 00026W|
|GB|AMN|Ardnamurchan|Ardnamurchan|HLD|1-------|RL|0901||5641N 00605W|
|GB|AHP|Ashampstead|Ashampstead|WBK|--3-----|RQ|0607||5128N 00111W|
|GB|AAB|Astley Abbotts|Astley Abbotts|SHR|--3-----|RQ|0901||5234N 00226W|
|GB|AVO|Avonmouth|Avonmouth|BST|1-------|AF|0501||5130N 00241W|
|GB|DSN|Balderstone|Balderstone|LAN|--3-----|RL|1107||5347N 00234W|
|GB|BM9|Balmoral|Balmoral|ANT|--3-----|RL|1601||5433N 00558W|
|GB|BGO|Bargoed|Bargoed|CAY|--3-----|AF|1401||5141N 00314W|
|GB|BWU|Barrow upon Trent|Barrow upon Trent|DBY|1-3-----|RL|1107||5251N 00128W|
|GB|BT9|Baughurst|Baughurst|HAM|--3-----|RL|1407||5120N 00110W|
|GB|BEF|Bedford|Bedford|BDF|--3-----|AF|1307|XQD||
|GB|NDN|Benenden|Benenden|KEN|--3-----|RL|0701||5104N 00035E|
|GB|BXC|Betws-y-Coed|Betws-y-Coed||--3-----|RL|0901||5305N 00348W|
|GB|BTP|Bilsthorpe|Bilsthorpe|NTT|-23-----|RL|0701||5308N 00102W|
|GB|BFM|Bishops Frome|Bishops Frome|HEF|-----6--|RL|1501||5208N 00230W|
|GB|BCW|Blackwood Hill|Blackwood Hill|MON|-23-----|RL|1401||5146N 00311W|
|GB|BSI|Bognor Regis|Bognor Regis|WSX|123-----|AA|0701||5047N 00041W|
|GB|BS2|Boston Spa|Boston Spa|LDS|--3-----|RL|2001||5354N 00121W|
|GB|BMI|Brackmills|Brackmills|NTH|-23-----|RL|0607||5213N 00052W|
|GB|BML|Bramley|Bramley|ROT|--3--6--|RL|0601||5325N 00116W|
|GB|BHU|Bredhurst|Bredhurst|KEN|--3-----|RL|1301||5119N 00035E|
|GB|BSH|Brighton|Brighton|ESX|1--4----|AF|9511|||
|GB|BEY|Bromley|Bromley|KEN|--3-----|AF|9704|||
|GB|BMW|Brynmawr|Brynmawr|BGW|--3-----|AF|1401||5148N 00311W|
|GB|UNY|Bunbury|Bunbury|CHE|--3-----|RL|1307||5307N 00239W|
|GB|B39|Burridge|Burridge|HAM|--3--67-|RL|1607||5053N 00115W|
|GB|YEY|Byley|Byley|CHW|--3-----|RL|1401||5312N 00224W|
|GB|CAY|Camberley|Camberley|SRY|--3-----|AF|9511|||
|GB|CAR|Cardigan (Aberteifi)|Cardigan (Aberteifi)|CGN|1-3-----|AA|0701||5205N 00439W|
|GB|TML|Cartmel|Cartmel|CMA|--3-----|RL|1307||5412N 00257W|
|GB|AWH|Cawthorne|Cawthorne|BNS|--3-----|RQ|1007||5334N 00135W|
|GB|CWN|Charlestown|Charlestown|FIF|123-----|AA|0701||5602N 00330W|
|GB|CYH|Cherry Hinton|Cherry Hinton|CAM|--3-----|AF|9704|||
|GB|CGF|Chingford|Chingford||--3-----|RL|0307||5138N 00000W|
|GB|XCW|Chwilog|Chwilog|GWN|-----6--|RQ|0907||5295N 00433W|
|GB|CD3|Cleveland|Cleveland|NYK|--3-----|RL|1401||5430N 00113W|
|GB|CKC|Cockley Cley|Cockley Cley|NFK|--3-----|RL|1307||5236N 00039E|
|GB|CTA|Coltishall|Coltishall|NFK|---4----|AI|0212|CLF|5244N 00122E|
|GB|CPV|Copgrove|Copgrove|NYK|--3-----|RL|1401||5404N 00129W|
|GB|CWO|Cousley Wood|Cousley Wood|ESX|--3--6--|RQ|0607||5105N 00020E|
|GB|CG9|Cranford|Cranford|HNS|--3-----|RL|1601||5128N 00024W|
|GB|COK|Crook|Crook|CMA|--3-----|AF|9704|||
|GB|CUA|Cuan Ferry| Seil|Cuan Ferry| Seil|AGB|1-3-----|AA|0701||5616N 00538W|
|GB|CYW|Cynwyd|Cynwyd|DEN|--3--6--|AQ|0601||5257N 00324W|
|GB|DWN|Darwen|Darwen|LAN|--3-----|AF|9511|||
|GB|DNY|Denny|Denny|FAL|-23-----|AF|0507||5601N 00354W|
|GB|DIS|Diss|Diss|NFK|-23-----|AF|9811|||
|GB|DVQ|Dovercourt|Dovercourt|ESS|-23-----|RL|1401||5156N 00118E|
|GB|DUF|Duffield|Duffield|DBY|--3-----|AF|9511|||
|GB|DNU|Dunoon|Dunoon|AGB|1-------|RL|1401||5557N 00457W|
|GB|ERB|Earby|Earby|LAN|--3-----|AF|9704|||
|GB|EHL|East Hoathly|East Hoathly|ESX|--3-----|RQ|0901||5055N 00010E|
|GB|EAY|Eastry|Eastry|KEN|--3-----|AF|9704|||
|GB|EGG|Egglescliffe|Egglescliffe|STT|-23-----|RL|1401||5431N 00121W|
|GB|EGN|Elvington|Elvington|YOR|--3-----|RQ|0907||5355N 00057W|
|GB|ETT|Etrick Field|Etrick Field||------7-|RL|1001||5754N 00035W|
|GB|FAM|Falmer|Falmer|ESX|--3-----|RL|1201||5051N 00040W|
|GB|FEI|Felbrigg|Felbrigg|NFK|1-3-----|RQ|0907||5254N 00116E|
|GB|FLB|Filby|Filby|NFK|--3-----|AF|9704|||
|GB|FET|Fleet|Fleet|HAM|--3-----|AF|9511|||
|GB|FON|Forsinard|Forsinard|HLD|--3-----|RQ|0907||5821N 00354W|
|GB|FRW|Freshwater|Freshwater|PEM|1-3-----|RQ|0907||5040N 00131W|
|GB|GAS|Galmisdale| Eigg|Galmisdale| Eigg|HLD|1-3-----|AA|0701||5653N 00608W|
|GB|DBL|Georgetown|Georgetown|RFW|-----6--|RL|0901||5552N 00428W|
|GB|GLC|Glenluce|Glenluce|DGY|1----6--|RL|1107||5452N 00450W|
|GB|GRL|Gorleston-on-Sea|Gorleston-on-Sea|NFK|--3-----|RL|0401||5234N 00143E|
|GB|GRA|Gransden|Gransden|CAM|0-------|AF|9511|||
|GB|GCT|Great Coates|Great Coates|YOR|--3-----|RQ|0901||5334N 00000W|
|GB|GTH|Greatham|Greatham|HAM|--3-----|AF|9704|||
|GB|GDB|Guardbridge|Guardbridge|FIF|1-3-----|AF|9811|||
|GB|HAI|Hailsham|Hailsham|ESX|--3-----|AF|9511|||
|GB|HIB|Hamiltons Bawn|Hamiltons Bawn|ARM|--3-----|RQ|0901||5420N 00632W|
|GB|AWD|Harewood|Harewood|YOR|--3-----|RL|0901||5353N 00130W|
|GB|HSY|Haseley|Haseley|WAR|--3-----|AF|9704|||
|GB|HKR|Hawksworth|Hawksworth|NTT|--3-----|RL|1601||5258N 00052W|
|GB|HBG|Hebden Bridge|Hebden Bridge|CLD|--3-----|AF|1401||5345N 00201W|
|GB|HNG|Hengoed|Hengoed|CAY|--3-----|AF|1401||5139N 00313W|
|GB|HLH|Hetton le Hole|Hetton le Hole|SND|--3-----|RQ|0901||5449N 00127W|
|GB|HLB|Hillsborough|Hillsborough|SHF|--3-----|RL|1401||5324N 00131W|
|GB|HME|Holme|Holme|CMA|--3--6--|RQ|1001||5411N 00243W|
|GB|IHO|Hooke|Hooke|DOR|--3-----|RL|1407||5048N 00240W|
|GB|HGY|Hougharry and Loch Eport|Hougharry and Loch Eport|ELS|1-------|RL|0901||5736N 00733W|
|GB|HBS|Humberston|Humberston|NEL|--3-----|RL|1201||5332N 00020W|
|GB|TCK|Ibstock|Ibstock|LEC|--3-----|RL|0901|||
|GB|INY|Invergarry|Invergarry|HLD|--3-----|RQ|0907||5702N 00447W|
|GB|ISC|Isles of Scilly|Isles of Scilly|CON|---4----|AI|1401||4955N 00620W|
|GB|KLG|Kellington|Kellington|NYK|--3-----|RQ|0901||5342N 00110W|
|GB|KST|Keston|Keston|LND|--3-----|RQ|0901|||
|GB|KLL|Killinghall|Killinghall|NYK|--3-----|RL|0201||5401N 00133W|
|GB|KGB|Kingsbury|Kingsbury|LND|--3-----|RQ|0901||5135N 00016W|
|GB|YBR|Kirby|Kirby||--3-----|RL|0901||5426N 00110W|
|GB|KRR|Kirriemuir|Kirriemuir|ANS|--3-----|AF|1401||5640N 00300W|
|GB|LHM|Laleham|Laleham|SRY|--3-----|AF|9907|||
|GB|LRA|Lanreath|Lanreath|CON|--3-----|RL|1301||5023N 00434W|
|GB|LCK|Leckhampstead|Leckhampstead|WBK|--3-----|AF|0507||5128N 00122W|
|GB|LEV|Leven|Leven|FIF|--3-----|AF|9511|||
|GB|LSM|Lismore Island|Lismore Island|AGB|1-------|RL|2301||5629N 00533W|
|GB|LWI|Little Witley|Little Witley|WOR|--3-----|RL|1201||5216N 00219W|
|GB|XLN|Llandyrnog|Llandyrnog|DEN|-----6--|RQ|0907||5317N 00334W|
|GB|LLT|Llantrisant|Llantrisant|RCT|--3-----|AF|1401|||
|GB|OCH|Lochs|Lochs|ELS|1-------|RL|0901||5806N 00629W|
|GB|LGC|Longcross|Longcross|SRY|--3-----|RQ|0901||5122N 00035W|
|GB|LDK|Lower Dicker|Lower Dicker|ESX|--3-----|RL|0701||5053N 00012E|
|GB|LYR|Lyme Regis|Lyme Regis|DOR|1-3-----|AA|0701||5044N 00256W|
|GB|MHA|Maghera|Maghera|MFT|--3-----|RL|0407||5451N 00640W|
|GB|MNN|Manningtree|Manningtree|ESS|--3-----|AF|9511|||
|GB|MAK|Marrick|Marrick|NYK|--3-----|RL|0201||5422N 00152W|
|GB|MYN|Maydown|Maydown|DRY|1-3-----|RL|2101||5501N 00715W|
|GB|MWH|Mereworth|Mereworth|KEN|--3-----|RL|0901||5115N 00022E|
|GB|MSM|Midsomer Norton|Midsomer Norton|SOM|--3-----|AF|9811|||
|GB|M89|Miserden|Miserden|GLS|1----6--|RL|1201||5147N 00206W|
|GB|MOC|Morecambe|Morecambe|LAN|--3-----|AF|9511|||
|GB|FL8|Mountfield|Mountfield|ESX|--3-----|RL|1801||5056N 00028E|
|GB|NBR|Narborough|Narborough|NFK|--3-----|RL|1307||5241N 00035E|
|GB|NHO|New Holland|New Holland|NLN|1-------|AF|1401||5342N 00022W|
|GB|NWF|Newhaven/Edinburgh|Newhaven/Edinburgh|EDH|123-----|AA|0701||5559N 00311W|
|GB|NSR|Newton Solney|Newton Solney|DBY|-----6--|RL|1201||5249N 00135W|
|GB|NFE|North Fambridge|North Fambridge|ESS|--3-----|RL|1301||5138N 00041E|
|GB|NFT|Northfleet|Northfleet|KEN|1-------|AF|9511|||
|GB|OKG|Oakhanger|Oakhanger|HAM|--3-----|RL|1401||5106N 00054W|
|GB|ONH|Ongar Hill|Ongar Hill|ESS|--3-----|AF|9704|||
|GB|OVF|Ovenden|Ovenden|DNC|--3-----|RL|1301||5344N 00153W|
|GB|PHM|Parham|Parham|SFK|--3-----|RL|0701||5212N 00122E|
|GB|PCI|Pencaitland|Pencaitland|ELN|--3-----|AF|1401||5554N 00253W|
|GB|PBR|Perry Barr|Perry Barr|BIR|-23-----|AF|1401||5230N 00154W|
|GB|PT2|Pitstone|Pitstone|BKM|-----6--|RL|1407||5149N 00037W|
|GB|PNT|Pontllanfraith|Pontllanfraith|CAY|--3-----|RL|1307||5138N 00309W|
|GB|PBA|Portballintrae|Portballintrae|MYL|1-3-----|AA|0701||5513N 00632W|
|GB|PSC|Portscatho|Portscatho|CON|1-3-----|AA|0701||5011N 00459W|
|GB|PRE|Preston|Preston|LAN|123-----|AA|0701|XPT|5345N 00243W|
|GB|QGO|Quenington|Quenington|GLS|--3-----|RL|1207||5143N 00147W|
|GB|RDW|Rawdon|Rawdon|YOR|--3-----|RL|0901||5351N 00141W|
|GB|REJ|Rejerrah|Rejerrah|CON|1-------|RL|0901||5021N 00505W|
|GB|RDM|Ridgmont|Ridgmont|CBF|--3-----|RL|1307||5200N 00035W|
|GB|RFR|Rock Ferry|Rock Ferry|WRL|1-------|RL|1501||5322N 00300W|
|GB|RDZ|Roudham|Roudham|NFK|--3-----|RL|1701||5227N 00054E|
|GB|RUS|Rushden|Rushden|NTH|--3-----|AF|9511|||
|GB|CMO|Saint Columb Major|Saint Columb Major|CON|--3--6--|RQ|1101||5025N 00456W|
|GB|SCW|Saint Nicholas at Wade|Saint Nicholas at Wade|KEN|--3-----|RL|1101||5121N 00115E|
|GB|SDR|Sanderstead|Sanderstead|SRY|--3-----|AF|1401|||
|GB|SQZ|Scampton|Scampton|LIN|---4----|AI|0212||5318N 00034W|
|GB|SGE|Sedgefield|Sedgefield|DUR|--3-----|RL|0201||5439N 00126W|
|GB|SBM|Sharpthorne|Sharpthorne|WSX|-----6--|RL|1107||5104N 00002W|
|GB|TLD|Shetland|Shetland|ZET|1-------|RL|0901||6032N 00113W|
|GB|OSP|Shropshire|Shropshire|SHR|--3-----|RL|1301||5237N 00243W|
|GB|SKI|Skipton|Skipton|NYK|--3-----|AF|9511|||
|GB|SBF|South Benfleet|South Benfleet|ESS|--3-----|AF|9704|||
|GB|THT|South Uist and Eriskay|South Uist and Eriskay|ELS|1-------|RQ|0901||5704N 00716W|
|GB|PWC|Spaldwick|Spaldwick|CAM|--3-----|RL|1407||5220N 00020W|
|GB|SOP|Stanhope|Stanhope|DUR|--3-----|AF|1401||5545N 00201W|
|GB|RON|Staverton|Staverton|GLS|-----6--|RL|1107||5155N 00210W|
|GB|SKC|Stoke Canon|Stoke Canon|DEV|--3-----|RL|1107||5046N 00330W|
|GB|SEL|Stow on the Wold|Stow on the Wold|GLS|--3-----|RL|0701||5156N 00144W|
|GB|SFU|Stuartfield|Stuartfield|ABD|1-3-----|RQ|0907||5730N 00203W|
|GB|SWV|Sutton Weaver|Sutton Weaver|STN|--3-----|RL|1301||5318N 00241W|
|GB|TDS|Tadcaster|Tadcaster|NYK|--3-----|AF|9511|||
|GB|TAY|Tayport|Tayport|FIF|1-------|AF|2301||5627N 00253W|
|GB|TAL|Theale|Theale|WBK|--3-----|RQ|0607||5125N 00105W|
|GB|TKN|Throckmorton|Throckmorton|WOR|--3--6--|RL|1207||5209N 00202W|
|GB|TGE|Tingewick|Tingewick|BKM|--3-----|RL|0701||5159N 00103W|
|GB|TGU|Tongue|Tongue|HLD|1-3-----|RQ|0907||5828N 00425W|
|GB|TRG|Tregaron|Tregaron|CGN|--3-----|RL|0601||5213N 00356W|
|GB|TRF|Turriff|Turriff|ABD|--3-----|RL|0701||5732N 00227W|
|GB|UPH|Upholland|Upholland|LAN|1----6--|RL|0901||5332N 00243W|
|GB|VEL|Velindre|Velindre|PEM|--3-----|RQ|0907||5201N 00446W|
|GB|WLZ|Walls Shetland|Walls Shetland|ZET|1-3-----|AA|2301||6013N 00134W|
|GB|WNH|Warlingham|Warlingham|SRY|--3-----|AF|9804|||
|GB|WZD|Weald|Weald|KEN|--3--6--|RL|1207||5113N 00011E|
|GB|WBY|Wembley|Wembley|BEN|1-------|AF|1401||5133N 00017W|
|GB|WKS|West Kingsdown|West Kingsdown|KEN|--3-----|RL|0201||5120N 00015E|
|GB|WTG|Westhoughton|Westhoughton|BOL|-23-----|AF|1401||5333N 00231W|
|GB|WPL|Whimple|Whimple||-23-----|AF|0212||5046N 00321W|
|GB|WGG|Whitrigg|Whitrigg|CMA|--3-----|RQ|0901||5454N 00312W|
|GB|WL2|Willingham|Willingham|CAM|1-3-----|RL|1401||5219N 00040E|
|GB|WGH|Wingham|Wingham|KEN|--3-----|AF|9704|||
|GB|WON|Witton|Witton|NFK|--3-----|AF|9511|||
|GB|WHU|Woodhurst|Woodhurst|CAM|--3-----|AF|9704|||
|GB|WOI|Worthing|Worthing|NFK|--3-----|AF|9704|||
|GB|YRM|Yarm|Yarm|STT|--3-----|RQ|0907||5430N 00121W|
|GE|ASE|Akhalts'ikhe|Akhalts'ikhe||-----6--|RL|1201||4138N 04258E|
|GE|NAT|Natakhtari|Natakhtari|KK|--3-----|RL|1301||4155N 04443E|
|GF|GDE|Guadeloupe|Guadeloupe||---4----|RL|1901||0444N 05347W|
|GH|BTG|Bolgatanga|Bolgatanga|UE|-----6--|RL|1201||1047N 00051W|
|GH|SEK|Sekondi|Sekondi||1-------|QQ|8103|||
|GL|IUT|Ivigtut|Ivigtut||1-------|QQ|8401|||
|GL|SEQ|Seqi Olivine Mine|Seqi Olivine Mine||1-3-----|RL|0607||6458N 05134W|
|GN|BFA|Boffa|Boffa|BF|1-3-----|AM|2101||1011N 01402W|
|GN|MMO|Mamou|Mamou|MM|--3-----|AM|2101||1022N 01205W|
|GP|PBG|Petit-Bourg|Petit-Bourg||1-3-----|RQ|2207||1611N 06135W|
|GR|HLR|Achladi�s|Achladias|E|--3-----|RL|1807||3908N 02327E|
|GR|AGF|Agios Nikolaos Fokidas|Agios Nikolaos Fokidas||1-------|RQ|0901||3820N 02209E|
|GR|ATS|Altsi|Altsi||1-3-----|AA|1307||3510N 02553E|
|GR|ATK|Antikyra|Antikyra||1-------|AI|1307||3823N 02238E|
|GR|ATH|Ath�nai|Athinai|I|---45---|AI|1701||3759N 02344E|
|GR|DHS|Dhrimos|Dhrimos|54|--3-----|RL|0207||4047N 02257E|
|GR|ERE|Er�tria|Eretria|04|1-3-----|AI|0407||3824N 02348E|
|GR|GIA|Gialtra|Gialtra||-----6--|RL|0901||2255N 03851E|
|GR|SAA|Istiaia|Istiaia|04|--3-----|RQ|0901|||
|GR|KAD|Kass�ndra|Kassandra|64|--3-----|RL|1401||4003N 02325E|
|GR|KHR|Khriso�polis|Khrisoupolis|55|--3-----|RL|0501||4059N 02441E|
|GR|KRI|Krioneri|Krioneri||--3-----|RQ|9501|||
|GR|LRS|Leros|Leros||1--4----|AI|1307||3711N 02648E|
|GR|MTI|Manto�dion|Mantoudion||--3-----|RL|0601||3848N 02329E|
|GR|MOL|Molyvos|Molyvos|83|1-3-----|RL|1101||3922N 02609E|
|GR|NMG|N�a M�lgara|Nea Malgara|54|--3-----|RL|0901||4037N 02241E|
|GR|OEO|Oreokastro|Oreokastro|54|-----6--|RL|1107||4043N 02254E|
|GR|PLL|Pella|Pella|59|--3-----|RL|0901||4046N 02231E|
|GR|PLG|Platygiali Etoloakarnanias|Platygiali Etoloakarnanias||1-------|RQ|0901||3828N 02106E|
|GR|RAF|Rafina|Rafina||1-------|AI|9601|||
|GR|SII|Sikinos|Sikinos|82|1-------|AI|0407||3642N 02507E|
|GR|SAP|Stavros Agias Paraskevis|Stavros Agias Paraskevis||--3-----|RQ|0207|||
|GR|THM|Thymaina Island|Thymaina Island|84|1-------|RQ|1001||3735N 02627E|
|GR|VER|Veria|Veria||0-------|RQ|9307|||
|GR|ZEY|Zevgolat�on|Zevgolation||--3-----|RL|0201||3756N 02248E|
|GT|EJO|El Jicaro|El Jicaro|PR|--3-----|RQ|0901||1446N 09024W|
|GT|LIV|L�vingston|Livingston|18|1-3-----|RL|0212||1550N 08845W|
|GT|PRQ|Puerto Quetzal|Puerto Quetzal||1-------|RQ|9506|||
|GT|SAL|San Lucas Sacatep�quez|San Lucas Sacatepequez|03|--3-----|RL|0401||1436N 09039W|
|GT|STZ|Santo Tomas|Santo Tomas|19|-----6--|RL|0901||1450N 08943W|
|GU|GUA|Mongmong-Toto-Maite|Mongmong-Toto-Maite||--3-----|RL|1407||1328N 14446E|
|GY|KAR|Kamarang|Kamarang||---4----|AI|0001|||
|HK|9FL|Fanling|Fanling||--3-----|RL|1407||2230N 11408E|
|HK|SSP|Sham Shui Po|Sham Shui Po||--3-----|RQ|0901||2220N 11409E|
|HM|HEA|Heard Island|Heard Island||1-------|RL|0212||5305S 07343E|
|HN|DNL|Danl�|Danli||--3-----|RL|0607||1402N 08634W|
|HN|LEP|Lepaera|Lepaera|LE|--3-----|AM|2101||1447N 08835W|
|HN|SGD|Sabanagrande|Sabanagrande|FM|--3-----|RL|0901||1348N 08715W|
|HN|TJI|Trujillo|Trujillo||1--4----|AI|9601|||
|HR|BBJ|Bibinje|Bibinje|13|--3-----|RQ|0907||4404N 01517E|
|HR|DAR|Daruvar|Daruvar||-23-----|RL|0307||4535N 01713E|
|HR|GIA|Glina|Glina|03|--3-----|AA|2007||4520N 01605E|
|HR|HID|Ivanic-Grad|Ivanic-Grad|03|-----6--|RL|0901||4542N 01623E|
|HR|KMN|Klimno|Klimno||1-3-----|AA|0607||4509N 01438E|
|HR|DW2|Lucko|Lucko|21|--3-----|RL|1407||4545N 01552E|
|HR|NLE|Nedelise|Nedelise|20|-23-----|RL|0407||4622N 01623E|
|HR|PDN|Pijavicino|Pijavicino|19|--3-----|RL|1407||4256N 01720E|
|HR|RJK|Rijeka|Rijeka|08|1234----|AI|0307||4520N 01424E|
|HR|SLM|Slum|Slum||-23-----|RL|0407||4526N 01400E|
|HR|TPO|Terezino Polje|Terezino Polje|10|--3----B|RL|0907||4557N 01729E|
|HR|VES|VESNA|VESNA||------7-|RL|1701||4441N 01319E|
|HR|ZVJ|Zvecaj|Zvecaj|04|-23-----|RL|1501||4524N 01525E|
|HU|HAM|Aba�jsz�nt�|Abaujszanto|BZ|-----6--|RL|0901||4817N 02112E|
|HU|BRS|Badacsony�rs|Badacsonyors|VE|1----6--|RL|0901||4648N 01732E|
|HU|HAP|Bekesszentandras|Bekesszentandras|BE|-----6--|RL|0901||4652N 02029E|
|HU|BSK|Borsodszir�k|Borsodszirak|BZ|--3-----|RL|1207||4816N 02046E|
|HU|CMD|Csom�d|Csomad|PE|--3-----|RL|1207||4740N 01914E|
|HU|DUU|Duna�jv�ros|Dunaujvaros|FE|123-----|RL|0507||4658N 01856E|
|HU|FTK|Felsotarkany|Felsotarkany|HE|--3-----|RL|1601||4758N 02025E|
|HU|GYH|Gyomaendrod|Gyomaendrod||--3-----|RQ|9501|||
|HU|HEV|Heves|Heves|HE|-23--6--|RL|0501||4736N 02017E|
|HU|KAL|K�l|Kal|HE|--3-----|RL|1301||4743N 02015E|
|HU|KBR|Kisber|Kisber|KE|-----6--|RQ|1001||4730N 01802E|
|HU|KOV|K�vesk�l|Koveskal|VE|--3-----|RL|1707||4653N 01736E|
|HU|LUK|Luk�csh�za|Lukacshaza|VA|--3-----|RL|0901|||
|HU|MZO|Mez�t�r|Mezotur|JN|--3-----|RL|0701||4700N 02038E|
|HU|NYC|Nagykov�csi|Nagykovacsi|PE|--3-----|RL|0901||4735N 01853E|
|HU|NBR|Ny�rb�tor|Nyirbator|SZ|-23-----|RL|0212||4750N 02208E|
|HU|OOK|Palotabozsok|Palotabozsok|BA|--3-----|RL|1301||4608N 01839E|
|HU|PZB|Pusztaberki|Pusztaberki|NO|--3-----|RL|1301||4758N 01910E|
|HU|SLY|S�ly|Saly|BZ|--3-----|RL|2001||4757N 02040E|
|HU|SOP|Sopron|Sopron||-23-----|QQ|8202|||
|HU|SEY|Szederkeny|Szederkeny|BA|-23-----|AM|2101||4559N 01827E|
|HU|TDI|Tabdi|Tabdi|BK|--3-----|RL|1301||4641N 01918E|
|HU|TZD|Tiszabezded|Tiszabezded|SZ|-----6--|RQ|1001||4822N 02209E|
|HU|TKV|Turkeve|Turkeve|JN|--3-----|RQ|0901||4706N 02045E|
|HU|VTL|V�rtestolna|Vertestolna|KE|--3-----|RL|1601||4738N 01827E|
|ID|ANC|Ancol|Ancol|JK|--3-----|RL|1601||0607S 10651E|
|ID|BGG|Banggai|Banggai||1-------|QQ|8103|||
|ID|BLT|Belitung|Belitung|SS|1-------|RL|0501||0250S 10755E|
|ID|BDN|Buduran|Buduran|JT|--3-----|RL|1501||0725S 11243E|
|ID|CIP|Cikupa|Cikupa|JB|--3-----|RL|1501||0613S 10631E|
|ID|DGG|Desa Greges|Desa Greges|JT|--3-----|RL|1501||0721S 11010E|
